datetime,generator_1_t+15_pred,generator_1_t+30_pred,generator_1_t+45_pred,generator_1_t+60_pred,generator_1_t+75_pred,generator_1_t+90_pred,generator_1_t+105_pred,generator_1_t+120_pred,generator_all_t+15_pred,generator_all_t+30_pred,generator_all_t+45_pred,generator_all_t+60_pred,generator_all_t+75_pred,generator_all_t+90_pred,generator_all_t+105_pred,generator_all_t+120_pred
2025-05-01 00:00:00,104.04069983390546,104.81905664544895,104.79276253375113,105.04811427555445,105.03142989953841,104.81691071308978,104.7244552653578,104.212812025785,318.91209553026374,320.30791094631093,322.07098737989156,322.32708990230282,321.95497024285481,320.93092306714101,320.33640895433336,319.365704821733
2025-05-01 00:15:00,103.32826540477561,103.74874847489741,104.2068865631189,104.40823337344416,104.21629738040744,104.26033768340429,103.93736286992767,103.69866436797281,322.1806973894877,323.25767152173597,325.04706062305877,325.04988299473268,324.26292405609712,323.4125940821956,322.39196407163053,320.91618856459115
2025-05-01 00:30:00,103.41761567118141,103.95328380027435,104.51456194238486,104.43071459057927,104.68798356772173,104.5795068034793,104.45490449228613,104.48498525234852,321.51525060298889,322.74781418430996,325.26642408563123,325.1443559886057,325.31418901541645,324.75503024191443,323.55617495511927,322.73167814695836
2025-05-01 00:45:00,103.22293589890373,103.61491516110712,104.00638774435824,104.19748429166067,104.26304282379506,104.22056070373468,104.36203089611342,104.16205664306207,321.63682147190855,322.67790412122753,324.62737286636155,324.6752447905439,324.23209968147228,323.36693895267905,322.37510473563157,321.29249763372121
2025-05-01 01:00:00,103.76953980362291,103.89401322442413,104.77609153657905,104.89504751294042,104.89905805985421,104.99486638434199,104.8544123932699,104.76401289737255,321.38429010803372,322.04389888907923,324.2439008577266,324.73459897090612,324.27830414263229,323.72295864659174,322.78479674972397,321.72803045452019
2025-05-01 01:15:00,104.07251725583956,104.64253451361697,105.31411281133822,105.55656734692191,105.65439433235953,105.47510758564951,105.4174702099278,105.21115693435658,323.88722049149334,325.66361867923627,327.08362694758716,326.8512309102224,326.48775587523136,325.47178764260008,324.4113342669238,323.06534131194599
2025-05-01 01:30:00,110.86934603847732,110.51563319595401,111.17031907635688,110.90350724639103,110.88394834540266,110.09586575231987,109.36597692579899,109.40797048251977,341.78589901335562,343.1461831989281,345.77960115502884,344.92589962062635,344.06641726375199,342.07151148015049,339.84091394213237,337.96192061716459
2025-05-01 01:45:00,117.61716532799987,117.25347881986909,116.72750791245721,115.66596621885091,114.96659598792776,113.43603070134361,112.95887121803676,112.60050823078075,348.05374622463603,348.19377352906361,348.98647514321874,347.32421729330099,345.5962354088752,342.69177534574931,340.07591942093012,337.77082844893124
2025-05-01 02:00:00,116.88073330550688,116.49045424403644,114.48826800932858,113.44409908435465,112.20461054222426,111.36713595255563,111.03028387013966,110.50351478921476,346.49512986315523,345.36087202447692,345.02075089201782,343.61920229993694,341.29149862071398,339.00994745628321,337.29341933650062,334.55659945631777
2025-05-01 02:15:00,114.02681289556469,113.28125448158538,111.02175300781929,109.64500082863215,109.15435465754103,108.67743037340198,108.41355476715121,108.76645542675473,341.80960936057505,339.51886816466873,338.76104047426497,336.37449628417721,334.60893830095097,333.28336000000007,331.386677093169,330.03102703442909
